language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
107	Svan	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		DAT	NOM	X	DAT_NOM		maizer-s txwim-Ø x-e-zg-i	PN-DAT head-NOM IO3-VER:R-ache-PRS	‘Maizer has a headache.’			
107	Svan	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		DAT	NOM	X	DAT_NOM	This root is used to mark alienable possession.	maizer-s grip'-Ø x-aː-r	PN-DAT flu-NOM IO3-VER:SUP-have	‘Maizer has the flu.’			
107	Svan	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		DAT	BEN	XY	DAT_BEN	žeγ-iš [dog-GEN] is also possible.	maizer-s žeγ-išd x-a-q'luːn-i	PN-DAT dog-BEN IO3-VER:SUP-be_afraid-PRS	‘Mainzer is afraid of the dog.’			
107	Svan	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		ERG	NOM	TR	TR		maizer-d bäč-Ø ad-Ø-k'wär	PN-ERG stone-NOM PRV:DIST-DO3-throw	‘Maizer trew a stone away.’			Same verb as 101.
107	Svan	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM	1. This root is used to mark alienable possession. 2. The presense of the preverb ka- makes both present and future readings possible.	maizer-s k-a-x-aː-r warčxil-Ø	PN-DAT money-NOM PRV:OUTWARD-PRV:DIST-IO3-VER:SUP-have	‘Maizer has/will have enough money.’			
107	Svan	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s x-a-ǯeš	PN-NOM PN-DAT IO3-VER:SUP-resemble	‘Maizer resembles Gegi.’			
107	Svan	7	believe	X (believe) Y	верить	X (верить)Y-у		DAT	GEN	XY	DAT_GEN		maizer-s gegiː-š x-a-ǯraːw-a	PN-DAT PN-GEN IO3-VER:SUP-believe-PRS	‘Maizer believes Gegi.’			
107	Svan	8	take	X (take) Y	взять	X (брать) Y(-а)		ERG	NOM	TR	TR		maizer-d taro-xen lǝir-Ø än-Ø-k'id	PN-ERG shelf-ABL book-NOM PRV:PROX-DO3-take	‘Maizer took a book from the shelf.’			
107	Svan	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	DAT	Y	NOM_DAT		maizer-Ø kor-s x-o-sgd-i	PN-NOM house-DAT IO3-VER:O-see-PRS	‘Maizer sees a house.’			
107	Svan	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	DAT	Y	NOM_DAT	This root is used to mark alienable possession.	al bepwšw-s liprebäːl-Ø xola-Ø x-aː-r	DEM.PROX child-DAT excessive_affection-NOM bad-NOM IO3-VER:SUP-have	‘Excessive affection spoils the child.’			
107	Svan	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s la-xː-wiːdː-a	PN-NOM PN-DAT IO3-VER:SUP-resemble	‘Maizer encountered Lile.’			
107	Svan	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	ALL.INESS	Y	NOM_ALL.INESS		maizer-Ø kor-te-isga aː-Ø-čäd	PN-NOM house-ALL-INESS	‘Maizer went into the house.’			
107	Svan	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		ERG	DAT	Y	ERG_DAT		maizer-Ø gegi-s ž-a-x-c'ind-a	PN-NOM PN-DAT PRV:UPWARD-PRV:DIST-IO3-beat-PST	‘Maizer beat Gegi.’			
107	Svan	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ABL.EL	Y	NOM_ABL.EL		maizer-Ø kor-xän-ka k-aː-Ø-čäd	PN-NOM house-ABL-EL PRV:OUTWARD-PRV:DIST-S3-go	‘Maizer went out of the house.’			
