language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
69	Adyghe	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	wəzə	*	*	*		Not included in the database because X is expressed as an NP-internal modifier.	č̣ʼale-m ə-ŝhe me-wəzə	парень-OBL 3SG.PR-голова DYN-болеть	‘У парня болит голова.’			В позиции абсолютивного подлежащего нормальная посессивная ИГ. Между посессором и обладаемым нельзя ничего вставить.	узы	К1алэм ышъхьэ мэузы.
69	Adyghe	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	jə-ʔe	POSS	ABS	X	POSS_ABS		č̣ʼale-m grip jə-ʔ	парень-OBL грипп(ABS) POSS-быть	‘Парень болеет гриппом.’			INV. The animate argument is indexed on the verb.	и-Iэ	К1алэм грипп и1.
69	Adyghe	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	šʼə-šʼəne	ABS	LOC	Y	ABS_LOC		č̣ʼale-r he-m šʼ-e-šʼəne	парень-ABS собака-OBL LOC-DYN-бояться	‘Парень боится собаки.’			Y can be indexed as the object of the locative preverb.	щы-щынэ	К1алэр хьэм щэщынэ.
69	Adyghe	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	ʒə	ERG	ABS	TR	TR		č̣ʼele–nahə-ẑə-m məẑʷe-r ə-ʒə-ʁ	парень–более-старый-OBL камень-ABS 3SG.ERG-бросить-PST	‘Старший парень бросил камень.’				дзы	К1элэ нахьыжъым мыжъор ыдзыгъ.
69	Adyghe	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	f-jə-qʷə	BEN	ABS	X	BEN_ABS		pŝaŝe-m ʔaχčʼe fə-r-j-e-qʷə	девушка-OBL деньги(ABS) BEN-LNK-LOC:CONT-DYN-хватать	‘Девушке хватает денег.’			INV	ф-и-къу	Пшъашъэм 1ахъчэ фырекъу
69	Adyghe	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	je-hšʼər	ABS	DAT	Y	ABS_DAT		wə-s-e-hšʼər-ep	2SG.ABS-1SG.IO-DAT-похожий-NEG	‘Ты не похож на меня’			Задал вопрос.	е-хьщыр	Усэхьщырэп
69	Adyghe	7	believe	X (believe) Y	верить	X (верить)Y-у	cəhe fe-ṣ̂ə	ERG	BEN	Y	ERG_BEN		č̣ʼale-m pŝaŝe-m cah f-j-e-ṣ̂ə	парень-OBL девушка-OBL доверие BEN-3SG.ERG-DYN-делать	‘Парень верит девушке.’			CV ("доверие делать"). Same as 114. Alternative is цыхьэ феш1ы (cəhe f-j-e-ṣ̂ə) with the same structure and the same meaning.	цыхьэ фэ-шIы	К1алэм пшъашъэм цахь феш1ы.
69	Adyghe	8	take	X (take) Y	взять	X (брать) Y(-а)	šte	ERG	ABS	TR	TR		pŝaŝe-m txəλə-r q-ə-šta-ʁ	девушка-OBL книга-ABS CSL-3SG.ERG-взять-PST	‘Девушка взяла книгу.’				штэ	Пшъашъэм тхылъыр къыштагъ.
69	Adyghe	9	see	X (see) Y	видеть	X (видеть) Y(-а)	λeʁʷə	ERG	ABS	TR	TR		pŝaŝe-m wəne-r j-e-λeʁʷə	девушка-OBL дом-ABS 3SG.ERG-DYN-видеть	‘Девушка видит дом.’				лъэгъу	Пшъашъэм унэр елъэгъу.
69	Adyghe	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*		Not included in the database because the translation deviates too far from the stimulus sentence. This construction is only possible when the X-argument is human.	s-jə-č̣ʼelejeʁaǯʼe jə-feme.bžʼəme-xe-r qə-s-tje-ha-ʁe-x	1SG.PR-POSS-учитель POSS-воздействие-PL-ABS CSL-1SG.IO-LOC:TOP-войти-PST-PL	‘На меня повлияли мои учителя’			Адекватного перевода получить не удалось. Фактически основной перевод использует глагол "зависеть" (см. 30), на что косвенно указывает и порядок слов. Получено выражение со значением собственно "влиять", но оно допустимо только если влияющий -- это человек. Не засчитываю.	*	Cик1элэегъаджэ ифэмэ-бжьымэхэр къыстехьагъэх.
